078UE;Irlanda;ue;cittadinanza_doti;Irlanda;;
079UE;Lettonia;ue;cittadinanza_doti;Lettonia;;
080UE;Lituania;ue;cittadinanza_doti;Lituania;;
081UE;Lussemburgo;ue;cittadinanza_doti;Lussemburgo;;
082UE;Malta;ue;cittadinanza_doti;Malta;;
083UE;Paesi Bassi;ue;cittadinanza_doti;Paesi Bassi;;
084UE;Polonia;ue;cittadinanza_doti;Polonia;;
085UE;Portogallo;ue;cittadinanza_doti;Portogallo;;
086UE;Regno Unito;ue;cittadinanza_doti;Regno Unito;;
087UE;Romania;ue;cittadinanza_doti;Romania;;
088UE;Slovacchia;ue;cittadinanza_doti;Slovacchia;;
089UE;Slovenia;ue;cittadinanza_doti;Slovenia;;
090UE;Spagna;ue;cittadinanza_doti;Spagna;;
091UE;Svezia;ue;cittadinanza_doti;Svezia;;
092UE;Ungheria;ue;cittadinanza_doti;Ungheria;;
093EX;Albania;extra_ue;cittadinanza_doti;Albania;;
094EX;Andorra;extra_ue;cittadinanza_doti;Andorra;;
095EX;Bielorussia;extra_ue;cittadinanza_doti;Bielorussia;;
096EX;Bosnia-Erzegovina;extra_ue;cittadinanza_doti;Bosnia-Erzegovina;;
097UE;Croazia;ue;cittadinanza_doti;Croazia;;
098EX;Islanda;extra_ue;cittadinanza_doti;Islanda;;
099EX;Kosovo;extra_ue;cittadinanza_doti;Kosovo;;
100EX;Liechtenstein;extra_ue;cittadinanza_doti;Liechtenstein;;
101EX;Macedonia, ex Repubblica  Jugoslava di;extra_ue;cittadinanza_doti;Macedonia, ex Repubblica  Jugoslava di;;
102EX;Moldova;extra_ue;cittadinanza_doti;Moldova;;
103EX;Monaco;extra_ue;cittadinanza_doti;Monaco;;
104EX;Montenegro;extra_ue;cittadinanza_doti;Montenegro;;
105EX;Norvegia;extra_ue;cittadinanza_doti;Norvegia;;
106EX;Russa, Federazione;extra_ue;cittadinanza_doti;Russa, Federazione;;
107EX;San Marino;extra_ue;cittadinanza_doti;San Marino;;
108EX;Città del Vaticano;extra_ue;cittadinanza_doti;Città del Vaticano;;
109EX;Serbia, Repubblica di;extra_ue;cittadinanza_doti;Serbia, Repubblica di;;
110EX;Svizzera;extra_ue;cittadinanza_doti;Svizzera;;
111EX;Ucraina;extra_ue;cittadinanza_doti;Ucraina;;
112EX;Algeria;extra_ue;cittadinanza_doti;Algeria;;
113EX;Angola;extra_ue;cittadinanza_doti;Angola;;
114EX;Benin (ex Dahomey);extra_ue;cittadinanza_doti;Benin (ex Dahomey);;
115EX;Botswana;extra_ue;cittadinanza_doti;Botswana;;
116EX;Burkina Faso (ex Alto Volta);extra_ue;cittadinanza_doti;Burkina Faso (ex Alto Volta);;
117EX;Burundi;extra_ue;cittadinanza_doti;Burundi;;
118EX;Camerun;extra_ue;cittadinanza_doti;Camerun;;
119EX;Capo Verde;extra_ue;cittadinanza_doti;Capo Verde;;
120EX;Centrafricana, Repubblica;extra_ue;cittadinanza_doti;Centrafricana, Repubblica;;
121EX;Ciad;extra_ue;cittadinanza_doti;Ciad;;
122EX;Comore;extra_ue;cittadinanza_doti;Comore;;
123EX;Congo (Repubblica del);extra_ue;cittadinanza_doti;Congo (Repubblica del);;
124EX;Congo, Repubblica democratica del (ex Zaire);extra_ue;cittadinanza_doti;Congo, Repubblica democratica del (ex Zaire);;
